3.6376E-02;7.2752E-06
3.6443E-02;7.2886E-06
3.6607E-02;7.3214E-06
3.6638E-02;7.3277E-06
3.6648E-02;7.3296E-06
3.6748E-02;7.3497E-06
3.6760E-02;7.3519E-06
3.6886E-02;7.3772E-06
3.6909E-02;7.3817E-06
3.6912E-02;7.3825E-06
3.6918E-02;7.3836E-06
3.6920E-02;7.3839E-06
3.6936E-02;7.3873E-06
3.6957E-02;7.3914E-06
3.6961E-02;7.3921E-06
3.6976E-02;7.3951E-06
3.6983E-02;7.3966E-06
3.6985E-02;7.3970E-06
3.6987E-02;7.3974E-06
3.6987E-02;7.3974E-06
3.6996E-02;7.3992E-06
3.7007E-02;7.4015E-06
3.7026E-02;7.4052E-06
3.7028E-02;7.4056E-06
3.7031E-02;7.4063E-06
3.7037E-02;7.4074E-06
3.7039E-02;7.4078E-06
3.7050E-02;7.4100E-06
3.7054E-02;7.4108E-06
3.7061E-02;7.4123E-06
3.7061E-02;7.4123E-06
3.7086E-02;7.4171E-06
3.7125E-02;7.4249E-06
3.7130E-02;7.4260E-06
3.7130E-02;7.4260E-06
3.7147E-02;7.4294E-06
3.7154E-02;7.4309E-06
3.7171E-02;7.4342E-06
3.7173E-02;7.4346E-06
3.7177E-02;7.4354E-06
3.7177E-02;7.4354E-06
3.7180E-02;7.4361E-06
3.7182E-02;7.4365E-06
3.7190E-02;7.4380E-06
3.7201E-02;7.4402E-06
3.7205E-02;7.4409E-06
3.7216E-02;7.4432E-06
3.7220E-02;7.4439E-06
3.7231E-02;7.4462E-06
3.7235E-02;7.4469E-06
3.7251E-02;7.4503E-06
3.7255E-02;7.4510E-06
3.7262E-02;7.4525E-06
3.7279E-02;7.4558E-06
3.7289E-02;7.4577E-06
3.7302E-02;7.4603E-06
3.7305E-02;7.4611E-06
3.7307E-02;7.4614E-06
3.7320E-02;7.4640E-06
3.7320E-02;7.4640E-06
3.7322E-02;7.4644E-06
3.7331E-02;7.4663E-06
3.7335E-02;7.4670E-06
3.7339E-02;7.4678E-06
3.7352E-02;7.4704E-06
3.7361E-02;7.4722E-06
3.7367E-02;7.4734E-06
3.7369E-02;7.4737E-06
3.7372E-02;7.4745E-06
3.7372E-02;7.4745E-06
3.7372E-02;7.4745E-06
3.7376E-02;7.4752E-06
3.7384E-02;7.4767E-06
3.7395E-02;7.4789E-06
3.7395E-02;7.4789E-06
3.7400E-02;7.4801E-06
3.7410E-02;7.4819E-06
3.7410E-02;7.4819E-06
3.7417E-02;7.4834E-06
3.7419E-02;7.4838E-06
3.7423E-02;7.4845E-06
3.7425E-02;7.4849E-06
3.7430E-02;7.4860E-06
3.7430E-02;7.4860E-06
3.7443E-02;7.4886E-06
3.7447E-02;7.4894E-06
3.7452E-02;7.4905E-06
3.7454E-02;7.4909E-06
3.7460E-02;7.4920E-06
3.7462E-02;7.4924E-06
3.7462E-02;7.4924E-06
3.7473E-02;7.4946E-06
3.7479E-02;7.4957E-06
3.7479E-02;7.4957E-06
3.7480E-02;7.4961E-06
3.7482E-02;7.4964E-06
3.7486E-02;7.4972E-06
3.7493E-02;7.4987E-06
3.7506E-02;7.5013E-06
3.7510E-02;7.5020E-06
3.7516E-02;7.5032E-06
3.7516E-02;7.5032E-06
3.7518E-02;7.5035E-06
3.7525E-02;7.5050E-06
3.7542E-02;7.5084E-06
3.7549E-02;7.5099E-06
3.7551E-02;7.5102E-06
3.7553E-02;7.5106E-06
3.7562E-02;7.5125E-06
3.7564E-02;7.5128E-06
3.7566E-02;7.5132E-06
3.7568E-02;7.5136E-06
3.7568E-02;7.5136E-06
3.7575E-02;7.5151E-06
3.7587E-02;7.5173E-06
3.7590E-02;7.5181E-06
3.7598E-02;7.5195E-06
3.7600E-02;7.5199E-06
3.7618E-02;7.5236E-06
3.7618E-02;7.5236E-06
3.7620E-02;7.5240E-06
3.7628E-02;7.5255E-06
3.7650E-02;7.5300E-06
3.7652E-02;7.5303E-06
3.7654E-02;7.5307E-06
3.7663E-02;7.5326E-06
3.7669E-02;7.5337E-06
3.7682E-02;7.5363E-06
3.7683E-02;7.5367E-06
3.7685E-02;7.5371E-06
3.7695E-02;7.5389E-06
3.7696E-02;7.5393E-06
3.7709E-02;7.5419E-06
3.7711E-02;7.5423E-06
3.7724E-02;7.5449E-06
3.7730E-02;7.5460E-06
3.7732E-02;7.5464E-06
3.7737E-02;7.5475E-06
3.7739E-02;7.5479E-06
3.7743E-02;7.5486E-06
3.7743E-02;7.5486E-06
3.7745E-02;7.5490E-06
3.7745E-02;7.5490E-06
3.7749E-02;7.5497E-06
3.7756E-02;7.5512E-06
3.7773E-02;7.5546E-06
3.7775E-02;7.5549E-06
3.7777E-02;7.5553E-06
3.7780E-02;7.5561E-06
3.7795E-02;7.5590E-06
3.7823E-02;7.5646E-06
3.7827E-02;7.5654E-06
3.7842E-02;7.5683E-06
3.7851E-02;7.5702E-06
3.7866E-02;7.5732E-06
3.7868E-02;7.5736E-06
3.7885E-02;7.5769E-06
3.7890E-02;7.5780E-06
3.7892E-02;7.5784E-06
3.7898E-02;7.5795E-06
3.7903E-02;7.5806E-06
3.7907E-02;7.5814E-06
3.7922E-02;7.5844E-06
3.7942E-02;7.5885E-06
3.7946E-02;7.5892E-06
3.7952E-02;7.5903E-06
3.7952E-02;7.5903E-06
3.7967E-02;7.5933E-06
3.7978E-02;7.5955E-06
3.7983E-02;7.5967E-06
3.7996E-02;7.5993E-06
3.8002E-02;7.6004E-06
3.8004E-02;7.6008E-06
3.8008E-02;7.6015E-06
3.8013E-02;7.6026E-06
3.8048E-02;7.6097E-06
3.8048E-02;7.6097E-06
3.8060E-02;7.6119E-06
3.8075E-02;7.6149E-06
3.8097E-02;7.6194E-06
3.8130E-02;7.6261E-06
3.8164E-02;7.6328E-06
3.8164E-02;7.6328E-06
3.8192E-02;7.6384E-06
3.8199E-02;7.6399E-06
3.8296E-02;7.6592E-06
3.8317E-02;7.6633E-06
3.8333E-02;7.6667E-06
3.8343E-02;7.6686E-06
3.8354E-02;7.6708E-06
3.8354E-02;7.6708E-06
3.8360E-02;7.6719E-06
3.8376E-02;7.6753E-06
3.8387E-02;7.6775E-06
3.8401E-02;7.6801E-06
3.8438E-02;7.6876E-06
3.8462E-02;7.6924E-06
3.8507E-02;7.7013E-06
3.8626E-02;7.7252E-06
3.8732E-02;7.7464E-06
